stock	inventory,0.428718
dote	rely,0.391735
pardon	excuse,0.525126
child	children,0.55715
yellow	red,0.617273
sleek	stylish,0.561895
four	three,0.830572
protest	demonstration,0.506991
sleep	asleep,0.532237
maid	housekeeper,0.438125
mansion	house,0.43732
captain	coach,0.439954
hate	despise,0.746011
yonder	thence,0.446551
consider	recommend,0.499841
whose	who's,0.751785
voter	electoral,0.505132
founder	chairman,0.508827
swam	ran,0.552667
chatter	speculation,0.43704
Watch	listen,0.449209
ceylon	abyssinia,0.497462
outwit	coerce,0.482236
agitator	literalness,0.425129
daze	haze,0.403997
under	beneath,0.514473
sputter	dawdle,0.494983
lord	god,0.634353
pride	bravery,0.444503
worth	worthy,0.412957
merchant	broker,0.444331
lure	coerce,0.488301
rescue	shelter,0.438026
unpopular	popular,0.430903
compassion	empathy,0.657768
void	abyss,0.439413
rise	surge,0.439981
lurk	creep,0.490151
inhibit	inflame,0.590273
distort	undermine,0.524541
pigment	texture,0.446864
covert	coercive,0.416723
smack	slap,0.70026
georgia	tennessee,0.672455
every	each,0.481762
govern	overthrow,0.49535
affect	effect,0.619477
vast	sizable,0.46841
chapel	church,0.548649
disturb	intrude,0.462867
hostess	housekeeper,0.363458
beam	light,0.384508
unrest	upheaval,0.562529
wooden	sturdy,0.483929
pinch	rub,0.455139
wednesday	thursday,0.837558
tube	rail,0.374676
frozen	freeze,0.473911
nigger	negro,0.499513
vector	typography,0.426833
geneva	sardinia,0.449284
math	physics,0.813757
wept	weep,0.537565
triumph	victory,0.4558
enjoy	appreciate,0.494508
jamaica	mexico,0.532461
charter	waterway,0.425237
tired	hungry,0.577889
awake	asleep,0.496555
miller	mcgovern,0.407584
bacon	chicken,0.544907
direct	deject,0.365861
horn	trumpet,0.473472
preacher	pastor,0.5624
crete	jamaica,0.476384
second	third,0.650259
fabulous	fantastic,0.643855
valiant	gallant,0.44697
kidnap	strangle,0.524866
even	necessarily,0.401045
employ	hire,0.622877
qualm	quibble,0.611351
settlement	merger,0.513711
hide	hid,0.556752
christ	god,0.538427
wreck	crash,0.492964
worsen	intensify,0.509016
thunder	lightning,0.482457
chin	cheek,0.511661
beaten	beat,0.514027
orchestra	theatre,0.50331
asia	europe,0.557192
children	child,0.55715
spokesman	chairman,0.490008
haze	fog,0.423678
sunder	ivory-coast,0.415835
toll	indispensability,0.353274
supplier	manufacturer,0.559098
suppose	meant,0.520439
upward	onward,0.411499
ever	never,0.457563
succumb	corrode,0.426804
told	said,0.620497
specialist	consultant,0.679699
agreement	contract,0.490184
million	billion,0.785659
crouch	bale,0.448975
avert	prevent,0.542365
join	participate,0.538835
human	alien,0.407137
never	ever,0.457563
drew	draw,0.466535
herd	heard,0.646571
natural	unnatural,0.468186
met	saw,0.48769
wanton	subjugation,0.41409
china	japan,0.553874
pursuit	desirous,0.409778
aid	aide,0.520441
cult	nazi,0.422852
path	journey,0.444688
shriek	screech,0.549812
interpret	summarize,0.5217
dry	wet,0.453137
voice	tone,0.398795
daughter	sister,0.608708
forum	workshop,0.542054
salami	bacon,0.466979
auction	sale,0.486209
settler	signatory,0.491837
jail	prison,0.66696
credit	loan,0.395302
cogent	coherent,0.620774
mentor	colleague,0.426944
smoke	drink,0.518622
Queer	gay,0.533454
threaten	violate,0.48401
Home	upstairs,0.387095
anarchist	ecumenical,0.456479
menial	mundane,0.539391
mutual	reciprocal,0.408384
golden	silver,0.460371
hunch	straggle,0.353626
campaign	initiative,0.505062
ground	floor,0.469816
scold	demoralise,0.452958
loveless	lonely,0.411673
FUCK	screw,0.543226
brought	bought,0.596698
uncivil	autocratic,0.612194
moral	morality,0.449488
stern	interpose,0.368157
total	complete,0.562717
unit	facility,0.443778
plot	narrative,0.39764
sexual	sex,0.465464
spoke	speak,0.589824
would	could,0.632019
Buffalo	chicago,0.523598
magnify	inhibit,0.490028
bleed	drown,0.412791
pamper	treat,0.419415
plod	dawdle,0.506375
foster	elderly,0.389078
call	refer,0.433997
calm	relax,0.457708
passport	license,0.535454
recommend	suggest,0.591195
strike	struck,0.445593
indiana	michigan,0.746866
type	kind,0.612747
tell	telling,0.548196
main	key,0.38222
setup	install,0.49411
