stock	equity,0.525099
dote	adore,0.510647
pardon	amnesty,0.532959
child	children,0.725948
yellow	red,0.751919
sleek	stylish,0.762949
four	three,0.970344
protest	demonstration,0.573739
sleep	slept,0.622323
maid	housekeeper,0.744176
mansion	palatial,0.622318
captain	coach,0.528867
hate	despise,0.671252
yonder	glen,0.442453
consider	contemplate,0.650182
whose	who,0.557052
voter	ballot,0.619219
founder	chairman,0.583267
swam	swim,0.757148
chatter	banter,0.569455
Watch	see,0.532685
outwit	wily,0.565295
agitator	thinker,0.427662
daze	stupor,0.576761
under	within,0.352863
sputter	falter,0.620186
lord	god,0.635028
pride	joy,0.52616
worth	value,0.484442
merchant	trader,0.411625
lure	tempt,0.691317
rescue	relief,0.461674
unpopular	controversial,0.533182
compassion	empathy,0.747384
void	vacuum,0.496643
rise	soar,0.678497
lurk	abound,0.584883
inhibit	impede,0.700947
distort	manipulate,0.605558
pigment	color,0.519018
covert	clandestine,0.722134
smack	slap,0.524982
georgia	tennessee,0.684986
every	each,0.659408
govern	regulate,0.541142
affect	jeopardize,0.614533
vast	enormous,0.630744
chapel	cathedral,0.681992
disturb	disrupt,0.612037
hostess	waiter,0.513524
beam	meter,0.402039
unrest	strife,0.659575
wooden	plywood,0.604097
pinch	squeeze,0.446289
wednesday	monday,0.748695
tube	duct,0.49472
frozen	freeze,0.615357
nigger	negro,0.576819
vector	parameter,0.461575
geneva	cuba,0.51886
math	mathematics,0.816138
wept	knelt,0.544931
triumph	victory,0.828833
enjoy	savor,0.636979
jamaica	malta,0.612713
charter	board,0.39
tired	weary,0.66507
awake	asleep,0.588217
miller	farmer,0.487976
bacon	steak,0.594779
direct	indirect,0.621789
horn	trumpet,0.582682
preacher	pastor,0.674272
crete	absorbent,0.4036
second	third,0.892813
fabulous	wonderful,0.761476
valiant	gallant,0.767642
kidnap	murder,0.537868
even	though,0.706478
employ	hire,0.610902
qualm	hesitation,0.497287
settlement	agreement,0.518042
hide	conceal,0.783064
