spiderg	paintingawai,0.805700421333	itsclair,0.793143868446	jaxonthepc,0.79126739502	chonnn,0.785060167313	iamernst,0.784685194492	mpaynor,0.784635305405	majordodson,0.781233429909	paulwilk,0.780350625515	jenwong,0.780012667179	mitz,0.778363704681	
woodb	belveni,0.874827563763	entendr,0.777046918869	whammi,0.769447088242	decker,0.766931712627	entendresquot,0.73873090744	monchcruz,0.736059010029	mathsss,0.733245253563	wrktire,0.730200767517	scottishcupfin,0.725072622299	sparklingjewel,0.718783378601	
solouk	mrselfdestrukt,0.823264479637	yuenz,0.814728140831	jameslancelot,0.809388279915	oflow,0.799817681313	reunitedlt,0.797587513924	hpnd,0.796570777893	daddyold,0.792872667313	alimcghi,0.791963338852	frannnyyyrulez,0.791559100151	pongdpanda,0.790833473206	
triciayroso	sheyluh,0.89789301157	macosta,0.890348255634	gobeithio,0.890282154083	lolnowdagow,0.89020383358	thaklamshong,0.888764381409	merika,0.888746142387	hahhanot,0.888162791729	rcoulter,0.887284398079	lilycheah,0.88688236475	thelastskeptik,0.88605761528	
wooda	pertrifi,0.960187077522	corrundum,0.87876534462	spiderr,0.865865826607	momzilla,0.845159769058	grou,0.844673991203	susyvagelsominoalbertsdad,0.843178868294	blogfront,0.841106891632	websitemau,0.840525746346	carcharth,0.840095043182	weld,0.83885037899	
woodi	nycpari,0.793801486492	darheen,0.789709806442	andru,0.779024720192	byyyyyi,0.776517689228	winadam,0.764961719513	yeahkri,0.762764692307	clarissapopo,0.736905097961	wyattklein,0.732232570648	kri,0.731274008751	ropeofsilicon,0.730818688869	
gah	argh,0.808497548103	agh,0.716725587845	grrrr,0.713868319988	grrrrr,0.713824272156	grr,0.711247324944	grrr,0.677382230759	urgh,0.673473834991	arghhh,0.658478617668	arg,0.657375097275	ugh,0.647009849548	
sunburnnn	throut,0.777671575546	hangnail,0.766600608826	achurlei,0.73811841011	jiganiget,0.733026623726	outch,0.732572317123	lorskyfink,0.728890538216	walterliu,0.727600216866	kateloon,0.72745603323	thatinvisibo,0.724923968315	cmaikai,0.723677098751	
scoutsapimp	mikewo,0.799189865589	ibrodkast,0.787289977074	hitquot,0.78212583065	kata,0.774185299873	creeperz,0.768733859062	duhduh,0.765386939049	hellolizzi,0.764594137669	bodypierc,0.763932228088	yupyup,0.763898849487	mintttttt,0.761379718781	
gag	oili,0.752999544144	steroid,0.748269200325	acid,0.73047721386	mold,0.723217606544	lisp,0.72235006094	tingl,0.720088720322	nasal,0.719222903252	cabbag,0.71638739109	burp,0.714726865292	moistur,0.712050676346	
thnkxx	amyleg,0.662117898464	madgeordiegirl,0.657184481621	howtown,0.649734437466	lukep,0.630069613457	asjonish,0.627041518688	interviewnot,0.626343250275	davidpittman,0.625588655472	alyssenicol,0.624861359596	ewancrossan,0.605671644211	seamysoul,0.601925730705	
spiderr	grou,0.917650818825	artedeb,0.90428519249	nicotinekauwgom,0.900962114334	merlianc,0.899232685566	rapheal,0.899201214314	seebivesi,0.899020910263	julieannamo,0.898234605789	propsrepli,0.897709131241	mellu,0.897140085697	sergioenelsur,0.89665812254	
woodv	maddystargirl,0.933553516865	merrion,0.690808236599	trafalgar,0.682866871357	itemis,0.655356287956	vrijmibo,0.642656803131	quotukquot,0.63168489933	tianamen,0.628699660301	freefreefre,0.619369328022	meganshiajosh,0.610778510571	heitz,0.605548143387	
elmoberri	daphnej,0.616583704948	dancerlboog,0.604860365391	flutterbyfib,0.599679112434	wwwbebocomdeclanbarrett,0.576256990433	familyguess,0.575282514095	blogsread,0.569685816765	mischiefeventu,0.56813454628	markbanag,0.561163723469	lizohanesian,0.559356749058	wantim,0.557867348194	
awakebarelya	usualgot,0.819241583347	ilarianic,0.751268982887	omran,0.718977928162	tygerbon,0.707455992699	kingdomfarawai,0.706423282623	polkadotpyjama,0.703764081001	tiffanyjon,0.697048544884	californiarain,0.693547844887	soback,0.691668748856	sddialedin,0.687716186047	
quotheimaquot	sciencegeek,0.808292746544	desrev,0.805988073349	wtsonet,0.800550997257	xtube,0.796267151833	itgomna,0.783776760101	publiku,0.782633662224	coreyklein,0.779062509537	peacepeaceout,0.778220534325	quotfillerquot,0.777356028557	wouldjust,0.77670186758	
spiderz	wherez,0.951829433441	gtgtitzthagodnmeltlt,0.914846420288	tbeezyyi,0.913158535957	candisleigh,0.901230692863	lokiza,0.900678038597	thatdud,0.898211121559	nutela,0.89469575882	whatsuppp,0.885265648365	vrbrt,0.884740233421	djshogun,0.883966088295	
dayuntil	daymissin,0.532430291176	workindoor,0.528104960918	ickylik,0.525738239288	outtho,0.51856482029	sparklyjenn,0.509901046753	alexabelin,0.505960285664	worthyou,0.501949191093	degreesfml,0.499496400356	partli,0.498544126749	mariamalk,0.497143298388	
cuteth	simblysouth,0.877836823463	cassialan,0.869830012321	tzatz,0.822302818298	mindfullychang,0.815695822239	rgfbbl,0.805700302124	iritar,0.805629253387	kanicong,0.80501806736	erinzaerya,0.80400967598	gypsiefre,0.801082313061	jazzyon,0.800192713737	
